date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-12-30,a2c_ppo,a2c,max_drawdown,-0.11119739707128498,8.469019281125553e-17,-0.11119739707128501,-0.11119739707128495,-0.11119739707128506,-0.11119739707128506
2020-12-31,a2c_ppo,a2c,max_drawdown,-0.10509171590083403,7.057516067604627e-17,-0.10509171590083406,-0.105091715900834,-0.1050917159008341,-0.1050917159008341
2020-01-02,a2c_ppo,a2c,calmar,,,,,,
2020-01-03,a2c_ppo,a2c,calmar,,,,,,
2020-01-06,a2c_ppo,a2c,calmar,,,,,,
2020-01-07,a2c_ppo,a2c,calmar,,,,,,
2020-01-08,a2c_ppo,a2c,calmar,,,,,,
2020-01-09,a2c_ppo,a2c,calmar,,,,,,
2020-01-10,a2c_ppo,a2c,calmar,,,,,,
2020-01-13,a2c_ppo,a2c,calmar,,,,,,
2020-01-14,a2c_ppo,a2c,calmar,,,,,,
2020-01-15,a2c_ppo,a2c,calmar,,,,,,
2020-01-16,a2c_ppo,a2c,calmar,,,,,,
2020-01-17,a2c_ppo,a2c,calmar,,,,,,
2020-01-21,a2c_ppo,a2c,calmar,,,,,,
2020-01-22,a2c_ppo,a2c,calmar,,,,,,
2020-01-23,a2c_ppo,a2c,calmar,,,,,,
2020-01-24,a2c_ppo,a2c,calmar,,,,,,
2020-01-27,a2c_ppo,a2c,calmar,,,,,,
2020-01-28,a2c_ppo,a2c,calmar,,,,,,
2020-01-29,a2c_ppo,a2c,calmar,,,,,,
2020-01-30,a2c_ppo,a2c,calmar,,,,,,
2020-01-31,a2c_ppo,a2c,calmar,,,,,,
2020-02-03,a2c_ppo,a2c,calmar,,,,,,
2020-02-04,a2c_ppo,a2c,calmar,,,,,,
2020-02-05,a2c_ppo,a2c,calmar,,,,,,
2020-02-06,a2c_ppo,a2c,calmar,,,,,,
2020-02-07,a2c_ppo,a2c,calmar,,,,,,
2020-02-10,a2c_ppo,a2c,calmar,,,,,,
2020-02-11,a2c_ppo,a2c,calmar,,,,,,
2020-02-12,a2c_ppo,a2c,calmar,,,,,,
2020-02-13,a2c_ppo,a2c,calmar,,,,,,
2020-02-14,a2c_ppo,a2c,calmar,,,,,,
2020-02-18,a2c_ppo,a2c,calmar,,,,,,
2020-02-19,a2c_ppo,a2c,calmar,,,,,,
2020-02-20,a2c_ppo,a2c,calmar,,,,,,
2020-02-21,a2c_ppo,a2c,calmar,,,,,,
2020-02-24,a2c_ppo,a2c,calmar,,,,,,
2020-02-25,a2c_ppo,a2c,calmar,,,,,,
2020-02-26,a2c_ppo,a2c,calmar,,,,,,
2020-02-27,a2c_ppo,a2c,calmar,,,,,,
2020-02-28,a2c_ppo,a2c,calmar,,,,,,
2020-03-02,a2c_ppo,a2c,calmar,,,,,,
2020-03-03,a2c_ppo,a2c,calmar,,,,,,
2020-03-04,a2c_ppo,a2c,calmar,,,,,,
2020-03-05,a2c_ppo,a2c,calmar,,,,,,
2020-03-06,a2c_ppo,a2c,calmar,,,,,,
2020-03-09,a2c_ppo,a2c,calmar,,,,,,
2020-03-10,a2c_ppo,a2c,calmar,,,,,,
2020-03-11,a2c_ppo,a2c,calmar,,,,,,
2020-03-12,a2c_ppo,a2c,calmar,,,,,,
2020-03-13,a2c_ppo,a2c,calmar,,,,,,
2020-03-16,a2c_ppo,a2c,calmar,,,,,,
2020-03-17,a2c_ppo,a2c,calmar,,,,,,
2020-03-18,a2c_ppo,a2c,calmar,,,,,,
2020-03-19,a2c_ppo,a2c,calmar,,,,,,
2020-03-20,a2c_ppo,a2c,calmar,,,,,,
2020-03-23,a2c_ppo,a2c,calmar,,,,,,
2020-03-24,a2c_ppo,a2c,calmar,,,,,,
2020-03-25,a2c_ppo,a2c,calmar,,,,,,
2020-03-26,a2c_ppo,a2c,calmar,,,,,,
2020-03-27,a2c_ppo,a2c,calmar,,,,,,
2020-03-30,a2c_ppo,a2c,calmar,-1.7288771956941882,1.1292025708167403e-15,-1.7288771956941886,-1.7288771956941877,-1.728877195694187,-1.728877195694187
2020-03-31,a2c_ppo,a2c,calmar,-1.829855540281754,9.033620566533923e-16,-1.8298555402817545,-1.8298555402817536,-1.8298555402817531,-1.8298555402817531
2020-04-01,a2c_ppo,a2c,calmar,-2.023161337217376,1.3550430849800884e-15,-2.0231613372173762,-2.0231613372173753,-2.023161337217377,-2.023161337217377
2020-04-02,a2c_ppo,a2c,calmar,-1.8561183560054728,4.516810283266961e-16,-1.856118356005473,-1.8561183560054726,-1.8561183560054724,-1.8561183560054724
2020-04-03,a2c_ppo,a2c,calmar,-1.9063220724057979,1.5808835991434364e-15,-1.9063220724057985,-1.9063220724057972,-1.9063220724057963,-1.9063220724057963
2020-04-06,a2c_ppo,a2c,calmar,-1.5393781394911763,1.1292025708167403e-15,-1.5393781394911767,-1.5393781394911759,-1.5393781394911752,-1.5393781394911752
2020-04-07,a2c_ppo,a2c,calmar,-1.5402328949761974,2.2584051416334807e-16,-1.5402328949761974,-1.5402328949761974,-1.5402328949761972,-1.5402328949761972
2020-04-08,a2c_ppo,a2c,calmar,-1.2887088011299068,2.2584051416334807e-16,-1.2887088011299068,-1.2887088011299068,-1.2887088011299066,-1.2887088011299066
2020-04-09,a2c_ppo,a2c,calmar,-1.237488776533582,9.033620566533923e-16,-1.2374887765335825,-1.2374887765335816,-1.237488776533583,-1.237488776533583
2020-04-13,a2c_ppo,a2c,calmar,-1.3548045220719276,4.516810283266961e-16,-1.3548045220719278,-1.3548045220719274,-1.3548045220719271,-1.3548045220719271
2020-04-14,a2c_ppo,a2c,calmar,-1.1239169288582576,6.775215424900442e-16,-1.1239169288582578,-1.1239169288582573,-1.1239169288582582,-1.1239169288582582
2020-04-15,a2c_ppo,a2c,calmar,-1.2589253073754925,4.516810283266961e-16,-1.2589253073754927,-1.2589253073754922,-1.258925307375493,-1.258925307375493
2020-04-16,a2c_ppo,a2c,calmar,-1.1504030764016526,6.775215424900442e-16,-1.1504030764016528,-1.1504030764016524,-1.1504030764016533,-1.1504030764016533
2020-04-17,a2c_ppo,a2c,calmar,-0.9480329042382081,4.516810283266961e-16,-0.9480329042382083,-0.9480329042382079,-0.9480329042382085,-0.9480329042382085
2020-04-20,a2c_ppo,a2c,calmar,-0.9750577208402869,5.646012854083701e-16,-0.9750577208402871,-0.9750577208402866,-0.9750577208402874,-0.9750577208402874
