date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-02-21,a2c_sac,a2c,sharpe,-1.0308264273703502,6.775215424900442e-16,-1.0308264273703505,-1.03082642737035,-1.030826427370351,-1.030826427370351
2020-02-24,a2c_sac,a2c,sharpe,-1.2456587115394342,0.0,-1.2456587115394342,-1.2456587115394342,-1.2456587115394342,-1.2456587115394342
2020-02-25,a2c_sac,a2c,sharpe,-1.391562843179116,6.775215424900442e-16,-1.3915628431791163,-1.3915628431791158,-1.3915628431791154,-1.3915628431791154
2020-02-26,a2c_sac,a2c,sharpe,-1.4366299708065575,4.516810283266961e-16,-1.4366299708065577,-1.4366299708065573,-1.436629970806558,-1.436629970806558
2020-02-27,a2c_sac,a2c,sharpe,-1.4046069657938955,6.775215424900442e-16,-1.4046069657938958,-1.4046069657938953,-1.4046069657938949,-1.4046069657938949
2020-02-28,a2c_sac,a2c,sharpe,-1.7880283276348214,1.3550430849800884e-15,-1.788028327634822,-1.788028327634821,-1.7880283276348228,-1.7880283276348228
2020-03-02,a2c_sac,a2c,sharpe,-1.2930935272791089,6.775215424900442e-16,-1.293093527279109,-1.2930935272791086,-1.2930935272791082,-1.2930935272791082
2020-03-03,a2c_sac,a2c,sharpe,-1.3192363746018072,6.775215424900442e-16,-1.3192363746018074,-1.319236374601807,-1.3192363746018065,-1.3192363746018065
2020-03-04,a2c_sac,a2c,sharpe,-1.0751537877638524,2.2584051416334807e-16,-1.0751537877638524,-1.0751537877638524,-1.0751537877638522,-1.0751537877638522
2020-03-05,a2c_sac,a2c,sharpe,-0.7404518066753062,3.387607712450221e-16,-0.7404518066753063,-0.7404518066753061,-0.7404518066753059,-0.7404518066753059
2020-03-06,a2c_sac,a2c,sharpe,-0.9921732248459801,5.646012854083701e-16,-0.9921732248459804,-0.9921732248459799,-0.9921732248459796,-0.9921732248459796
2020-03-09,a2c_sac,a2c,sharpe,-1.3582256190817141,4.516810283266961e-16,-1.3582256190817144,-1.358225619081714,-1.3582256190817137,-1.3582256190817137
2020-03-10,a2c_sac,a2c,sharpe,-1.1556427824383957,2.2584051416334807e-16,-1.1556427824383957,-1.1556427824383957,-1.155642782438396,-1.155642782438396
2020-03-11,a2c_sac,a2c,sharpe,-1.3204635452254252,6.775215424900442e-16,-1.3204635452254254,-1.320463545225425,-1.3204635452254259,-1.3204635452254259
2020-03-12,a2c_sac,a2c,sharpe,-1.488073922713999,2.2584051416334807e-16,-1.488073922713999,-1.488073922713999,-1.4880739227139987,-1.4880739227139987
2020-03-13,a2c_sac,a2c,sharpe,-1.6916917751769769,6.775215424900442e-16,-1.691691775176977,-1.6916917751769767,-1.6916917751769762,-1.6916917751769762
2020-03-16,a2c_sac,a2c,sharpe,-2.095864512213724,9.033620566533923e-16,-2.0958645122137245,-2.0958645122137236,-2.095864512213725,-2.095864512213725
2020-03-17,a2c_sac,a2c,sharpe,-2.195083758595919,9.033620566533923e-16,-2.1950837585959193,-2.1950837585959184,-2.195083758595918,-2.195083758595918
2020-03-18,a2c_sac,a2c,sharpe,-2.402840783000487,1.8067241133067846e-15,-2.402840783000488,-2.402840783000486,-2.4028407830004888,-2.4028407830004888
2020-03-19,a2c_sac,a2c,sharpe,-2.7016831254360683,1.3550430849800884e-15,-2.7016831254360687,-2.701683125436068,-2.7016831254360696,-2.7016831254360696
2020-03-20,a2c_sac,a2c,sharpe,-2.389067292303779,4.516810283266961e-16,-2.389067292303779,-2.389067292303779,-2.3890672923037792,-2.3890672923037792
2020-03-23,a2c_sac,a2c,sharpe,-2.7101821211494013,0.0,-2.7101821211494013,-2.7101821211494013,-2.7101821211494013,-2.7101821211494013
2020-03-24,a2c_sac,a2c,sharpe,-2.1886942142039647,9.033620566533923e-16,-2.188694214203965,-2.1886942142039643,-2.1886942142039656,-2.1886942142039656
2020-03-25,a2c_sac,a2c,sharpe,-1.7945127467983204,1.1292025708167403e-15,-1.7945127467983208,-1.79451274679832,-1.7945127467983215,-1.7945127467983215
2020-03-26,a2c_sac,a2c,sharpe,-1.8542432238737965,1.3550430849800884e-15,-1.854243223873797,-1.854243223873796,-1.8542432238737978,-1.8542432238737978
2020-03-27,a2c_sac,a2c,sharpe,-1.8883173360697112,4.516810283266961e-16,-1.8883173360697114,-1.888317336069711,-1.8883173360697108,-1.8883173360697108
2020-03-30,a2c_sac,a2c,sharpe,-1.9771185158530786,0.0,-1.9771185158530786,-1.9771185158530786,-1.9771185158530786,-1.9771185158530786
2020-03-31,a2c_sac,a2c,sharpe,-1.9931833055661132,6.775215424900442e-16,-1.9931833055661135,-1.993183305566113,-1.993183305566114,-1.993183305566114
2020-04-01,a2c_sac,a2c,sharpe,-1.9684442269004525,9.033620566533923e-16,-1.968444226900453,-1.968444226900452,-1.9684442269004534,-1.9684442269004534
2020-04-02,a2c_sac,a2c,sharpe,-1.8592874450308796,2.2584051416334807e-16,-1.8592874450308796,-1.8592874450308796,-1.8592874450308794,-1.8592874450308794
2020-04-03,a2c_sac,a2c,sharpe,-1.876585203608821,1.1292025708167403e-15,-1.8765852036088215,-1.8765852036088206,-1.8765852036088222,-1.8765852036088222
2020-04-07,a2c_sac,a2c,sharpe,-1.7223975237685827,6.775215424900442e-16,-1.722397523768583,-1.7223975237685825,-1.722397523768582,-1.722397523768582
2020-04-08,a2c_sac,a2c,sharpe,-1.769468271138988,6.775215424900442e-16,-1.7694682711389882,-1.7694682711389877,-1.7694682711389873,-1.7694682711389873
2020-04-09,a2c_sac,a2c,sharpe,-1.694600176147951,0.0,-1.694600176147951,-1.694600176147951,-1.694600176147951,-1.694600176147951
2020-04-10,a2c_sac,a2c,sharpe,-1.647502227822358,6.775215424900442e-16,-1.6475022278223581,-1.6475022278223577,-1.6475022278223586,-1.6475022278223586
2020-04-13,a2c_sac,a2c,sharpe,-1.6720220318292358,1.1292025708167403e-15,-1.6720220318292363,-1.6720220318292354,-1.6720220318292347,-1.6720220318292347
2020-04-14,a2c_sac,a2c,sharpe,-1.533290872167121,9.033620566533923e-16,-1.5332908721671215,-1.5332908721671206,-1.5332908721671201,-1.5332908721671201
2020-04-15,a2c_sac,a2c,sharpe,-1.609723288937696,0.0,-1.609723288937696,-1.609723288937696,-1.609723288937696,-1.609723288937696
2020-04-16,a2c_sac,a2c,sharpe,-1.6318033858698535,1.1292025708167403e-15,-1.631803385869854,-1.631803385869853,-1.6318033858698546,-1.6318033858698546
2020-04-17,a2c_sac,a2c,sharpe,-1.362796153975414,2.2584051416334807e-16,-1.362796153975414,-1.362796153975414,-1.3627961539754139,-1.3627961539754139
2020-04-20,a2c_sac,a2c,sharpe,-1.2965192424570566,2.2584051416334807e-16,-1.2965192424570566,-1.2965192424570566,-1.2965192424570569,-1.2965192424570569
2020-04-21,a2c_sac,a2c,sharpe,-1.3996281749274382,2.2584051416334807e-16,-1.3996281749274382,-1.3996281749274382,-1.399628174927438,-1.399628174927438
2020-04-22,a2c_sac,a2c,sharpe,-1.3806681233115874,1.1292025708167403e-15,-1.3806681233115878,-1.380668123311587,-1.3806681233115885,-1.3806681233115885
2020-04-23,a2c_sac,a2c,sharpe,-1.274462308973234,2.2584051416334807e-16,-1.274462308973234,-1.274462308973234,-1.2744623089732339,-1.2744623089732339
2020-04-24,a2c_sac,a2c,sharpe,-1.3652705353343173,1.1292025708167403e-15,-1.3652705353343177,-1.3652705353343169,-1.3652705353343162,-1.3652705353343162
2020-04-27,a2c_sac,a2c,sharpe,-1.3510817498099925,0.0,-1.3510817498099925,-1.3510817498099925,-1.3510817498099925,-1.3510817498099925
2020-04-28,a2c_sac,a2c,sharpe,-1.220195680246358,4.516810283266961e-16,-1.2201956802463583,-1.2201956802463578,-1.2201956802463576,-1.2201956802463576
2020-04-29,a2c_sac,a2c,sharpe,-1.1137711115456204,2.2584051416334807e-16,-1.1137711115456204,-1.1137711115456204,-1.1137711115456201,-1.1137711115456201
2020-04-30,a2c_sac,a2c,sharpe,-1.0305577834338449,4.516810283266961e-16,-1.030557783433845,-1.0305577834338446,-1.0305577834338444,-1.0305577834338444
2020-05-06,a2c_sac,a2c,sharpe,-1.0579455733173235,6.775215424900442e-16,-1.0579455733173238,-1.0579455733173233,-1.0579455733173242,-1.0579455733173242
2020-05-07,a2c_sac,a2c,sharpe,-1.1541511154366222,2.2584051416334807e-16,-1.1541511154366222,-1.1541511154366222,-1.154151115436622,-1.154151115436622
2020-05-08,a2c_sac,a2c,sharpe,-1.085312325829971,0.0,-1.085312325829971,-1.085312325829971,-1.085312325829971,-1.085312325829971
2020-05-11,a2c_sac,a2c,sharpe,-1.0555584976758192,9.033620566533923e-16,-1.0555584976758197,-1.0555584976758188,-1.05555849767582,-1.05555849767582
2020-05-12,a2c_sac,a2c,sharpe,-1.084204491976166,2.2584051416334807e-16,-1.084204491976166,-1.084204491976166,-1.0842044919761658,-1.0842044919761658
2020-05-13,a2c_sac,a2c,sharpe,-1.089024205839095,2.2584051416334807e-16,-1.089024205839095,-1.089024205839095,-1.0890242058390949,-1.0890242058390949
2020-05-14,a2c_sac,a2c,sharpe,-1.2357137321177698,2.2584051416334807e-16,-1.2357137321177698,-1.2357137321177698,-1.2357137321177696,-1.2357137321177696
2020-05-15,a2c_sac,a2c,sharpe,-1.2928829946982525,4.516810283266961e-16,-1.2928829946982527,-1.2928829946982523,-1.292882994698252,-1.292882994698252
2020-05-18,a2c_sac,a2c,sharpe,-1.2501496617601473,4.516810283266961e-16,-1.2501496617601475,-1.250149661760147,-1.2501496617601469,-1.2501496617601469
2020-05-19,a2c_sac,a2c,sharpe,-1.1310915596247524,4.516810283266961e-16,-1.1310915596247526,-1.1310915596247522,-1.131091559624752,-1.131091559624752
2020-05-20,a2c_sac,a2c,sharpe,-1.1600298413137793,0.0,-1.1600298413137793,-1.1600298413137793,-1.1600298413137793,-1.1600298413137793
