pair,classifier_group,window,active_day_rate,actual_cumulative_return,actual_log_return,actual_volatility,block_winner_exposure_rate,daily_loss_vs_stronger_rate,daily_win_vs_stronger_rate,decision_days,fallback_cumulative_return,fallback_log_return,log_advantage_vs_fallback,log_advantage_vs_stronger,mean_actual_return,path_transition_drag,stronger_cumulative_return,stronger_exposure_rate,stronger_log_return,stronger_volatility,weaker_exposure_rate,pair_label,ideal_weaker_exposure
ppo_sac,1,4,0.5333333333333333,0.0654806351258838,0.06216264309733157,0.011604340032332496,0.23703703703703702,0.46984126984126984,0.5301587301587302,63.0,0.06019050974711377,0.05754793997831545,0.004614703119016117,0.02820611896410567,0.0010544168949238328,-0.00875444192716254,0.034539628243335674,0.762962962962963,0.0339565241332259,0.010640390811905003,0.23703703703703702,PPO+SAC,1.0
ppo_sac,2,1,0.0,-0.14758902912151195,-0.15968650826508013,0.023165464456432708,1.0,0.0,0.0,62.0,-0.14758902912151195,-0.15968650826508013,0.0,1.119574268362844e-16,-0.00230745660276493,1.119574268362844e-16,-0.14758902912151203,1.0,-0.1596865082650802,0.023165464456432736,0.0,PPO+SAC,0.0
ppo_sac,2,2,1.0,0.1521591842596741,0.14163773350858197,0.01950584267036536,0.0,0.6129032258064516,0.3870967741935484,62.0,0.1521591842596741,0.14163773350858197,0.0,-2.7729374929876772e-05,0.0024745966640223804,-2.7729374929876772e-05,0.1521911333566357,1.0,0.14166546288351184,0.019506024417798515,0.0,PPO+SAC,1.0
ppo_sac,2,3,1.0,0.08374111160877606,0.08041904756458838,0.01411397231858491,1.0,0.5161290322580645,0.48387096774193544,62.0,0.06636844315276424,0.0642588975022427,0.016160150062345682,1.6440617913124644e-05,0.0013950550544651389,1.6440617913124644e-05,0.08372329438170678,1.0,0.08040260694667527,0.014114448948392155,0.0,PPO+SAC,0.0
ppo_sac,2,4,1.0,0.05705793447777552,0.05548951567724979,0.010130873616884918,0.2222222222222222,0.47619047619047616,0.5238095238095238,63.0,0.052578505682580046,0.0512428735148907,0.0042466421623590855,0.021532991544023883,0.0009316758485617017,-0.007162065473219118,0.034539628243335674,0.7777777777777778,0.0339565241332259,0.010640390811905003,0.2222222222222222,PPO+SAC,1.0
ppo_sac,3,1,0.0,-0.14758902912151195,-0.15968650826508013,0.023165464456432708,1.0,0.0,0.0,62.0,-0.14758902912151195,-0.15968650826508013,0.0,1.119574268362844e-16,-0.00230745660276493,1.119574268362844e-16,-0.14758902912151203,1.0,-0.1596865082650802,0.023165464456432736,0.0,PPO+SAC,0.0
ppo_sac,3,2,0.0,0.1521591842596741,0.14163773350858197,0.01950584267036536,0.0,0.6129032258064516,0.3870967741935484,62.0,0.1521591842596741,0.14163773350858197,0.0,-2.7729374929876772e-05,0.0024745966640223804,-2.7729374929876772e-05,0.1521911333566357,1.0,0.14166546288351184,0.019506024417798515,0.0,PPO+SAC,1.0
ppo_sac,3,3,0.13333333333333333,0.033468247929574625,0.03283394474896087,0.012136927589216823,0.0903225806451613,0.5150537634408602,0.4849462365591398,62.0,0.032561916262093774,0.03200340469395517,0.0008305400550056951,-0.047568662197714384,0.0006022391764362274,-0.010818240144462173,0.08372329438170678,0.0903225806451613,0.08040260694667527,0.014114448948392155,0.9096774193548387,PPO+SAC,0.0
ppo_sac,3,4,0.26666666666666666,0.031001295590974916,0.030529621657968898,0.01069816279755623,0.001058201058201058,0.4952380952380952,0.5047619047619047,63.0,0.031045292010247794,0.030572154730169634,-4.253307220073678e-05,-0.0034269024752569986,0.0005411059613612282,-0.0032515382289560846,0.034539628243335674,0.9989417989417989,0.0339565241332259,0.010640390811905003,0.001058201058201058,PPO+SAC,1.0
ppo_sac,4,1,0.0,-0.14758902912151195,-0.15968650826508013,0.023165464456432708,1.0,0.0,0.0,62.0,-0.14758902912151195,-0.15968650826508013,0.0,1.119574268362844e-16,-0.00230745660276493,1.119574268362844e-16,-0.14758902912151203,1.0,-0.1596865082650802,0.023165464456432736,0.0,PPO+SAC,0.0
